"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 1.55310678600497),c(`Kruskal-Wallis chi-squared` = 18.0256396544632),c(`Kruskal-Wallis chi-squared` = 22.9820032908268),c(`Kruskal-Wallis chi-squared` = 16.7565528589058),c(`Kruskal-Wallis chi-squared` = 20.7734471410942),c(`Kruskal-Wallis chi-squared` = 14.9917729329494),c(`Kruskal-Wallis chi-squared` = 6.10068696009873),c(`Kruskal-Wallis chi-squared` = 8.44101030242606),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 24.8634063470565),c(`Kruskal-Wallis chi-squared` = 16.9744361315122),c(`Kruskal-Wallis chi-squared` = 2.15448275862069),c(`Kruskal-Wallis chi-squared` = 3.14070504885063),c(`Kruskal-Wallis chi-squared` = 16.9744361315122),c(`Kruskal-Wallis chi-squared` = 25.4971205265323),c(`Kruskal-Wallis chi-squared` = 11.8021472645002),c(`Kruskal-Wallis chi-squared` = 2.24051424788037),c(`Kruskal-Wallis chi-squared` = 10.4674075796327),c(`Kruskal-Wallis chi-squared` = 1.88408424033575),c(`Kruskal-Wallis chi-squared` = 1.48483994583915),c(`Kruskal-Wallis chi-squared` = 2.61892363441144),c(`Kruskal-Wallis chi-squared` = 16.6852121051936),c(`Kruskal-Wallis chi-squared` = 17.0478393022334),c(`Kruskal-Wallis chi-squared` = 3.96417603415946),c(`Kruskal-Wallis chi-squared` = 0.770588235293832),c(`Kruskal-Wallis chi-squared` = 10.4297079391197),c(`Kruskal-Wallis chi-squared` = 21.6578897573015),c(`Kruskal-Wallis chi-squared` = 45.3723776223776),c(`Kruskal-Wallis chi-squared` = 44.8907939119704),c(`Kruskal-Wallis chi-squared` = 17.1261744138215),c(`Kruskal-Wallis chi-squared` = 27.6980666392431),c(`Kruskal-Wallis chi-squared` = 25.7805032284038),c(`Kruskal-Wallis chi-squared` = 38.12528589058)
"parameter",c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2)
"p.value",0.459988682527621,0.000121837809597932,1.0221659124521e-05,0.000229805690630089,3.08392117002628e-05,0.000555364187083685,0.0473426603388019,0.014691221341868,NaN,3.99006445312219e-06,0.000206085780479207,0.340533634236066,0.2079718542744,0.000206085780479207,2.90650199542585e-06,0.00273650524075881,0.326195911061341,0.005333733644858,0.389830940332442,0.475960708693359,0.269965307979033,0.000238150899761123,0.000198659222458274,0.137781247154017,0.680250533092995,0.00543522712714057,1.98175058181085e-05,1.40447296530582e-10,1.786849429753e-10,0.000191028637440971,9.67032899709439e-07,2.52252136696904e-06,5.26258784579285e-09
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
