"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 7.83264361509783),c(`Kruskal-Wallis chi-squared` = 9.4628263297501),c(`Kruskal-Wallis chi-squared` = 32.0947228814742),c(`Kruskal-Wallis chi-squared` = 11.972348643492),c(`Kruskal-Wallis chi-squared` = 10.8517881241565),c(`Kruskal-Wallis chi-squared` = 12.3328993903858),c(`Kruskal-Wallis chi-squared` = 7.85498045511659),c(`Kruskal-Wallis chi-squared` = 1.15367198838899),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 16.0356118009288),c(`Kruskal-Wallis chi-squared` = 18.4755294266101),c(`Kruskal-Wallis chi-squared` = 8.00215169445939),c(`Kruskal-Wallis chi-squared` = 4.84684905737537),c(`Kruskal-Wallis chi-squared` = 18.4755294266101),c(`Kruskal-Wallis chi-squared` = 24.0336951463539),c(`Kruskal-Wallis chi-squared` = 12.0534317257312),c(`Kruskal-Wallis chi-squared` = 1.45492619601037),c(`Kruskal-Wallis chi-squared` = 9.30926844944182),c(`Kruskal-Wallis chi-squared` = 7.69177689007251),c(`Kruskal-Wallis chi-squared` = 2.81688988360717),c(`Kruskal-Wallis chi-squared` = 0.0375345298015524),c(`Kruskal-Wallis chi-squared` = 13.0917171717172),c(`Kruskal-Wallis chi-squared` = 13.72),c(`Kruskal-Wallis chi-squared` = 1.19601939270227),c(`Kruskal-Wallis chi-squared` = 1.85569162830472),c(`Kruskal-Wallis chi-squared` = 12.3453767043603),c(`Kruskal-Wallis chi-squared` = 35.6641072176463),c(`Kruskal-Wallis chi-squared` = 32.7065335753176),c(`Kruskal-Wallis chi-squared` = 33.0176229698916),c(`Kruskal-Wallis chi-squared` = 5.46226906789519),c(`Kruskal-Wallis chi-squared` = 25.8612813532505),c(`Kruskal-Wallis chi-squared` = 22.1585553933575),c(`Kruskal-Wallis chi-squared` = 27.7492147145051)
"parameter",c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2)
"p.value",0.0199142084900638,0.00881400659011825,1.0732959168696e-07,0.00251326060828156,0.00440112951926449,0.00209867372101549,0.0196930356202143,0.561672693758255,NaN,0.000329542278734337,9.72948291743646e-05,0.0182959446552685,0.0886176236442994,9.72948291743664e-05,6.04156439851678e-06,0.00241340693722976,0.483133098032907,0.0095173938327532,0.0213674093568609,0.244523235514454,0.981407743694193,0.0014360505803972,0.00104891393262779,0.54990502562353,0.395404568514867,0.00208562157181608,1.80151348233814e-08,7.90435565518394e-08,6.76572387602736e-08,0.0651453381281595,2.42266913651173e-06,1.54287532278415e-05,9.42615520229272e-07
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
