"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"3.cspec",15,17,0.722094871628165,0.18758145052694,0.676426146446851,0.720514994009612,0.2117227218471,0.46788790753462,1,0.53211209246538,0.386577785853627,-1.41325308596809,0.0454951843487733
"3.ifert_ha",16,17,190.200781022357,38.9553971410805,182.59693877551,188.696413967136,32.3074015587954,126.770525561823,276.196542311192,149.426016749369,0.493363128911134,-0.377555495597888,9.44807159415054
"3.arable_ha",17,17,0.736215464299923,0.135985604945478,0.765238526426154,0.737619381144,0.18954888459836,0.494776431257835,0.956595744680851,0.461819313423016,-0.0480722422444017,-1.38968188952839,0.0329813536913953
"3.fodder_ha",18,17,0.0450882160998949,0.0311254176504614,0.03515625,0.0423983977970699,0.0266248113156428,0.00557594242958585,0.124947764312578,0.119371821882992,0.913091988309666,0.134178828389058,0.00754902262437156
"3.grass_ha",19,17,0.216985540611304,0.130551437241592,0.22918553114426,0.220565225730839,0.179988242463021,0,0.380275804429586,0.380275804429586,-0.253317725238164,-1.51083774277964,0.0316633744307812
"3.rough_grazing_ha",20,12,0.0350688335690152,0.0916177473786633,0,0.00991423293587945,0,0,0.321683673469388,0.321683673469388,2.51355507640382,4.99609867539226,0.0264477655558092
"3.wood_aua_p",21,17,0.00596992271031526,0.010573580653774,0,0.00455292844600826,0,0,0.0331947593852356,0.0331947593852356,1.3354217037705,0.318842098121796,0.00256446999273514
"3.fwood_aua_p",22,17,0.00133582687683676,0.00550775531073692,0,0,0,0,0.022709056906225,0.022709056906225,3.42403235345411,10.3425605536332,0.00133582687683676
"3.nue",23,12,0.593025,0.120297949238169,0.54845,0.58891,0.13573203,0.4396,0.7876,0.348,0.411010590949782,-1.34362198785852,0.0347270266878084
"3.farm_n_surplus",24,12,79.9275,43.5248286770165,66.435,73.449,36.62022,39.23,185.41,146.18,1.052283219894,0.173840654278488,12.5645357765539
"3.dsecxx613*",25,17,7.29411764705882,19.1988434087914,1,2.86666666666667,0,1,80,79,3.17537318781855,9.11110698071703,4.65640348612591
"3.dseczz612*",26,17,2.82352941176471,7.51860437612632,1,1,0,1,32,31,3.42403235345411,10.3425605536332,1.82352941176471
"3.outputinputlesssubsratio",27,17,1.06387529411765,0.250964067351226,1.02465,1.03563466666667,0.161558922,0.78297,1.76839,0.98542,1.34799789969436,1.43485811609449,0.0608677269366899
"3.fo_kg_ha",28,17,5287.46045341481,2452.73387961714,5110.57358053302,5294.41494094399,2604.9011333554,661.93853427896,9808.665059613,9146.72652533404,0.12101368925893,-0.986780014075889,594.875344540732
"3.netem_ha",29,17,4926.93653335758,861.383817283368,4552.75454283242,4910.3782770476,885.734441389498,3708.3327904098,6393.91412095506,2685.58133054526,0.38097565349014,-1.37696250328547,208.916262521004
"3.ghg_ha",30,17,4995.71492523388,857.23616342428,4669.85774294892,4968.02291642654,871.211894960258,3955.33484676504,6451.47513581279,2496.14028904775,0.43432518395669,-1.40524131592809,207.910308699856
"3.tde_ha",31,17,557.380845575147,156.671855286616,505.835010060362,544.2361434574,88.2689293824673,284.892857142857,1027.03936577365,742.14650863079,1.29672788223501,2.42781658108781,37.9985063475413
"3.tie_ha",32,17,1599.998685047,321.77837453708,1586.845703125,1582.01021935105,374.468301750053,1225.99456829916,2243.82978723404,1017.83521893488,0.637174209642814,-0.885977298080594,78.0427191915259
"3.tch4_ha",33,17,1361.40393362278,855.975734629465,1348.7207615273,1340.21990315387,1022.76240413524,0,3040.56832427915,3040.56832427915,0.0479477854458148,-1.01138012585695,207.604609814292
"3.tn20_ha",34,17,1476.93146098895,285.446283508331,1372.24759005581,1463.72606267092,194.656161178578,1039.26220204313,2112.68169470524,1073.4194926621,0.763743798606457,-0.287109015219046,69.2308927849914
