"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 12.0367705367705),c(`Kruskal-Wallis chi-squared` = 3.03627003627004),c(`Kruskal-Wallis chi-squared` = 22.3330733330733),c(`Kruskal-Wallis chi-squared` = 8.85577135577135),c(`Kruskal-Wallis chi-squared` = 10.1364806364806),c(`Kruskal-Wallis chi-squared` = 0.365755365755362),c(`Kruskal-Wallis chi-squared` = 20.3772668772669),c(`Kruskal-Wallis chi-squared` = 0.999999999999996),c(`Kruskal-Wallis chi-squared` = 24.7212472212472),c(`Kruskal-Wallis chi-squared` = 16.8124033124033),c(`Kruskal-Wallis chi-squared` = 5.63939236806751),c(`Kruskal-Wallis chi-squared` = 12.1275626275626),c(`Kruskal-Wallis chi-squared` = 7.05716741886956),c(`Kruskal-Wallis chi-squared` = 5.63939236806751),c(`Kruskal-Wallis chi-squared` = 11.5620685620686),c(`Kruskal-Wallis chi-squared` = 6.68450462067482),c(`Kruskal-Wallis chi-squared` = 0.926080272638029),c(`Kruskal-Wallis chi-squared` = 4.14450056116723),c(`Kruskal-Wallis chi-squared` = 3.23626280011822),c(`Kruskal-Wallis chi-squared` = 0.624276538678695),c(`Kruskal-Wallis chi-squared` = 2.05714285714285),c(`Kruskal-Wallis chi-squared` = 4.7047138047138),c(`Kruskal-Wallis chi-squared` = 20.9764790764791),c(`Kruskal-Wallis chi-squared` = 2.03638764242056),c(`Kruskal-Wallis chi-squared` = 6.56583629893236),c(`Kruskal-Wallis chi-squared` = 0.958347958347971),c(`Kruskal-Wallis chi-squared` = 27.1942201942202),c(`Kruskal-Wallis chi-squared` = 26.2123552123552),c(`Kruskal-Wallis chi-squared` = 25.9794404794405),c(`Kruskal-Wallis chi-squared` = 17.4774124774125),c(`Kruskal-Wallis chi-squared` = 25.3521703521704),c(`Kruskal-Wallis chi-squared` = 22.4207649207649),c(`Kruskal-Wallis chi-squared` = 13.2246402246402)
"parameter",c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2)
"p.value",0.00243359602854808,0.219120161248779,1.41395225138249e-05,0.0119397073915816,0.00629348493333121,0.832870023771435,3.75952276948385e-05,0.606530659712635,4.28399912073122e-06,0.000223477089677274,0.0596240546972337,0.00232559045328808,0.0293464495478353,0.0596240546972337,0.00308552245995728,0.0353572325120558,0.629367371511624,0.125902147538456,0.198268838294378,0.731880324622829,0.357517334979171,0.0951446510916762,2.78622024583068e-05,0.361246827641139,0.0375186119874546,0.619294730933875,1.24408517528807e-06,2.03263494082671e-06,2.28368489015132e-06,0.000160261093442983,3.12497218353233e-06,1.35329587310095e-05,0.00134371096969285
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
