"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 0.506894097944516),c(`Kruskal-Wallis chi-squared` = 2.85830523333237),c(`Kruskal-Wallis chi-squared` = 43.1725604869379),c(`Kruskal-Wallis chi-squared` = 29.9098120191018),c(`Kruskal-Wallis chi-squared` = 2.9797011686521),c(`Kruskal-Wallis chi-squared` = 5.73629799399902),c(`Kruskal-Wallis chi-squared` = 30.2320429445984),c(`Kruskal-Wallis chi-squared` = 4.28000926375475),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 41.9633369380396),c(`Kruskal-Wallis chi-squared` = 9.86834284734981),c(`Kruskal-Wallis chi-squared` = 4.23372935560727),c(`Kruskal-Wallis chi-squared` = 7.68320170654592),c(`Kruskal-Wallis chi-squared` = 9.86834284734981),c(`Kruskal-Wallis chi-squared` = 28.8089753581583),c(`Kruskal-Wallis chi-squared` = 8.96671873157221),c(`Kruskal-Wallis chi-squared` = 3.17924986115035),c(`Kruskal-Wallis chi-squared` = 7.87543255655788),c(`Kruskal-Wallis chi-squared` = 1.35669995915792),c(`Kruskal-Wallis chi-squared` = 3.48671636999374),c(`Kruskal-Wallis chi-squared` = 8.54934237234259),c(`Kruskal-Wallis chi-squared` = 8.05112110917167),c(`Kruskal-Wallis chi-squared` = 24.565852150547),c(`Kruskal-Wallis chi-squared` = 4.63332814540289),c(`Kruskal-Wallis chi-squared` = 2.21942978326084),c(`Kruskal-Wallis chi-squared` = 8.4963753646885),c(`Kruskal-Wallis chi-squared` = 4.22339306924522),c(`Kruskal-Wallis chi-squared` = 70.1309007408485),c(`Kruskal-Wallis chi-squared` = 73.7181898325007),c(`Kruskal-Wallis chi-squared` = 26.583371744585),c(`Kruskal-Wallis chi-squared` = 42.7048649774889),c(`Kruskal-Wallis chi-squared` = 46.2995750134604),c(`Kruskal-Wallis chi-squared` = 62.9805428855756)
"parameter",c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3)
"p.value",0.917374218796901,0.413991555400517,2.26189683433341e-09,1.44167421098319e-06,0.394765456805091,0.125168982599566,1.23333566006361e-06,0.232772523171222,NaN,4.08464885571572e-09,0.0197190689808409,0.237306558390488,0.0530334343456472,0.0197190689808409,2.45625222503067e-06,0.029736667432974,0.364805455176826,0.0486575275976681,0.715715133450705,0.322489054167029,0.0359233322179746,0.0449669171904692,1.90285788551009e-05,0.200701599316365,0.528131456431879,0.0367932984648115,0.238330206613088,4.00155208888622e-15,6.82027204946954e-16,7.19847857659013e-06,2.84295189758097e-09,4.89775562947601e-10,1.35590929216696e-13
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
