"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 4.86939079832698),c(`Kruskal-Wallis chi-squared` = 12.2951845790143),c(`Kruskal-Wallis chi-squared` = 32.2283142389525),c(`Kruskal-Wallis chi-squared` = 14.4343007819604),c(`Kruskal-Wallis chi-squared` = 14.1247535915621),c(`Kruskal-Wallis chi-squared` = 9.60820149118021),c(`Kruskal-Wallis chi-squared` = 1.25921440261868),c(`Kruskal-Wallis chi-squared` = 6.51618606112989),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 18.988805064894),c(`Kruskal-Wallis chi-squared` = 11.2956852455401),c(`Kruskal-Wallis chi-squared` = 0.147079422888374),c(`Kruskal-Wallis chi-squared` = 3.8692547278578),c(`Kruskal-Wallis chi-squared` = 11.2956852455401),c(`Kruskal-Wallis chi-squared` = 23.7015057283142),c(`Kruskal-Wallis chi-squared` = 7.85808692489542),c(`Kruskal-Wallis chi-squared` = 2.57887252227678),c(`Kruskal-Wallis chi-squared` = 7.66526029164129),c(`Kruskal-Wallis chi-squared` = 0.329193535546566),c(`Kruskal-Wallis chi-squared` = 0.368325080782028),c(`Kruskal-Wallis chi-squared` = 2.58341762776421),c(`Kruskal-Wallis chi-squared` = 16.6279432624113),c(`Kruskal-Wallis chi-squared` = 17.1612765957447),c(`Kruskal-Wallis chi-squared` = 3.86719178794176),c(`Kruskal-Wallis chi-squared` = 0.802943143812567),c(`Kruskal-Wallis chi-squared` = 7.26909983633388),c(`Kruskal-Wallis chi-squared` = 21.779410801964),c(`Kruskal-Wallis chi-squared` = 33.2150900163666),c(`Kruskal-Wallis chi-squared` = 34.2136242953264),c(`Kruskal-Wallis chi-squared` = 13.0922749590835),c(`Kruskal-Wallis chi-squared` = 20.5031496635752),c(`Kruskal-Wallis chi-squared` = 19.4002165091498),c(`Kruskal-Wallis chi-squared` = 30.5201709401709)
"parameter",c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2)
"p.value",0.0876244334592303,0.00213862476541913,1.00394629768963e-07,0.000733890743695508,0.000856739377589713,0.00819606805179656,0.532801043461379,0.0384616733639496,NaN,7.52719853831439e-05,0.00352511357714596,0.929099249185937,0.1444780965441,0.00352511357714589,7.13318396608908e-06,0.0196624714530207,0.275426007676601,0.0216525911991889,0.84823567109566,0.831800591644837,0.274800798226965,0.000245068785126501,0.000187705127376981,0.14462719824402,0.669334347328817,0.0263958119897226,1.86492355688108e-05,6.12963825375653e-08,3.72053917124478e-08,0.0014356501308057,3.53018625561172e-05,6.12768611935966e-05,2.35846310658128e-07
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
