"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 1.12231206933251),c(`Kruskal-Wallis chi-squared` = 1.93243674674756),c(`Kruskal-Wallis chi-squared` = 30.3952330593024),c(`Kruskal-Wallis chi-squared` = 16.9783261167425),c(`Kruskal-Wallis chi-squared` = 0.647032218586219),c(`Kruskal-Wallis chi-squared` = 7.88562119216749),c(`Kruskal-Wallis chi-squared` = 15.993111813925),c(`Kruskal-Wallis chi-squared` = 5.19065751736748),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 36.5509318381355),c(`Kruskal-Wallis chi-squared` = 9.92616565233297),c(`Kruskal-Wallis chi-squared` = 1.37510793141726),c(`Kruskal-Wallis chi-squared` = 10.7334566397669),c(`Kruskal-Wallis chi-squared` = 9.92616565233297),c(`Kruskal-Wallis chi-squared` = 21.8706500917871),c(`Kruskal-Wallis chi-squared` = 3.41426141352062),c(`Kruskal-Wallis chi-squared` = 0.607811179223015),c(`Kruskal-Wallis chi-squared` = 3.21618096017238),c(`Kruskal-Wallis chi-squared` = 0.88793054369486),c(`Kruskal-Wallis chi-squared` = 1.7229335365475),c(`Kruskal-Wallis chi-squared` = 7.05286248561563),c(`Kruskal-Wallis chi-squared` = 10.8225674767872),c(`Kruskal-Wallis chi-squared` = 24.2396872588927),c(`Kruskal-Wallis chi-squared` = 2.36688099065311),c(`Kruskal-Wallis chi-squared` = 2.3427271079344),c(`Kruskal-Wallis chi-squared` = 10.3327239138532),c(`Kruskal-Wallis chi-squared` = 3.29989757096868),c(`Kruskal-Wallis chi-squared` = 53.5788728483252),c(`Kruskal-Wallis chi-squared` = 56.311237928007),c(`Kruskal-Wallis chi-squared` = 14.2595411977545),c(`Kruskal-Wallis chi-squared` = 26.2060777329928),c(`Kruskal-Wallis chi-squared` = 43.6128705034057),c(`Kruskal-Wallis chi-squared` = 47.0179018011546)
"parameter",c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3),c(df = 3)
"p.value",0.77169077412541,0.586547436789003,1.1395767654284e-06,0.000714033353272494,0.885585945737597,0.0484356725071659,0.0011376776391216,0.158356902738221,NaN,5.72643056525613e-08,0.019204294456516,0.711379802160369,0.0132580448788005,0.019204294456516,6.94009827119448e-05,0.33205355541149,0.894641877299094,0.359480096898092,0.828339426832248,0.631847239621282,0.0702318159269846,0.0127250496916512,2.22608936504827e-05,0.499829489296836,0.504384979588205,0.0159396392661247,0.347656901200722,1.3798202537526e-11,3.60515859656985e-12,0.00257233748606081,8.63529402243663e-06,1.8237653672191e-09,3.44526553870745e-10
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
