"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 4.79816063447777),c(`Kruskal-Wallis chi-squared` = 7.17321553127178),c(`Kruskal-Wallis chi-squared` = 22.3185977421272),c(`Kruskal-Wallis chi-squared` = 6.63438476840011),c(`Kruskal-Wallis chi-squared` = 8.73150946808235),c(`Kruskal-Wallis chi-squared` = 7.31859774212717),c(`Kruskal-Wallis chi-squared` = 8.69809088325712),c(`Kruskal-Wallis chi-squared` = 0.765000000000007),c(`Kruskal-Wallis chi-squared` = NaN),c(`Kruskal-Wallis chi-squared` = 14.5478004175967),c(`Kruskal-Wallis chi-squared` = 12.282021743826),c(`Kruskal-Wallis chi-squared` = 4.28),c(`Kruskal-Wallis chi-squared` = 0.575892857142859),c(`Kruskal-Wallis chi-squared` = 12.282021743826),c(`Kruskal-Wallis chi-squared` = 17.4754604872252),c(`Kruskal-Wallis chi-squared` = 6.58850396548604),c(`Kruskal-Wallis chi-squared` = 2.60447352372682),c(`Kruskal-Wallis chi-squared` = 4.15589528687465),c(`Kruskal-Wallis chi-squared` = 6.27010559217026),c(`Kruskal-Wallis chi-squared` = 1.09253405654789),c(`Kruskal-Wallis chi-squared` = 0.741176470588241),c(`Kruskal-Wallis chi-squared` = 9.14206773618537),c(`Kruskal-Wallis chi-squared` = 8.03302775655715),c(`Kruskal-Wallis chi-squared` = 0.831845047718968),c(`Kruskal-Wallis chi-squared` = 0.784876063633074),c(`Kruskal-Wallis chi-squared` = 6.31445916970216),c(`Kruskal-Wallis chi-squared` = 28.8706864036787),c(`Kruskal-Wallis chi-squared` = 17.0236224133922),c(`Kruskal-Wallis chi-squared` = 19.1297372704022),c(`Kruskal-Wallis chi-squared` = 9.6530625952621),c(`Kruskal-Wallis chi-squared` = 13.3175902244956),c(`Kruskal-Wallis chi-squared` = 16.8295185009488),c(`Kruskal-Wallis chi-squared` = 17.3366245575964)
"parameter",c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2),c(df = 2)
"p.value",0.090801423404306,0.0276921093983058,1.42422327352767e-05,0.0362544776402195,0.0127050626125393,0.0257505608619348,0.0129191387685742,0.68215389097645,NaN,0.00069340229925928,0.0021527463671836,0.117654843021779,0.749801759114514,0.0021527463671836,0.000160417583838392,0.0370957829575017,0.271922885557167,0.125186876833045,0.0434974572732215,0.579107572637024,0.690328135805994,0.0103472564873738,0.0180156603790142,0.659731381945655,0.675408198874989,0.0425434409597884,5.38034473424984e-07,0.00020107929872342,7.0150429053773e-05,0.00801427223328873,0.00128269093828327,0.000221572823006502,0.000171949061548948
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
