"","a","b","c","d","e","f","g","h","i","j","k","kf","kl","l","lf","m","n","o","p","q","r","s","t","u","v","w","x","y","yg","y1","y2","y3","y4"
"statistic",c(`Kruskal-Wallis chi-squared` = 23.2228563479408),c(`Kruskal-Wallis chi-squared` = 2.18095051287719),c(`Kruskal-Wallis chi-squared` = 127.746038715045),c(`Kruskal-Wallis chi-squared` = 72.974231430311),c(`Kruskal-Wallis chi-squared` = 5.11793581873667),c(`Kruskal-Wallis chi-squared` = 2.23074793327817),c(`Kruskal-Wallis chi-squared` = 79.8885241082367),c(`Kruskal-Wallis chi-squared` = 65.3605400852686),c(`Kruskal-Wallis chi-squared` = 58.1200824619794),c(`Kruskal-Wallis chi-squared` = 142.734022423853),c(`Kruskal-Wallis chi-squared` = 19.7964498175684),c(`Kruskal-Wallis chi-squared` = 34.4402817288554),c(`Kruskal-Wallis chi-squared` = 25.2158640844945),c(`Kruskal-Wallis chi-squared` = 19.7964498175684),c(`Kruskal-Wallis chi-squared` = 113.116058197218),c(`Kruskal-Wallis chi-squared` = 29.0471241389665),c(`Kruskal-Wallis chi-squared` = 11.559562736424),c(`Kruskal-Wallis chi-squared` = 32.5110616825614),c(`Kruskal-Wallis chi-squared` = 63.3749031600839),c(`Kruskal-Wallis chi-squared` = 12.341623030134),c(`Kruskal-Wallis chi-squared` = 9.6770895225887),c(`Kruskal-Wallis chi-squared` = 15.4989494068771),c(`Kruskal-Wallis chi-squared` = 53.1219677421571),c(`Kruskal-Wallis chi-squared` = 4.3477338823565),c(`Kruskal-Wallis chi-squared` = 3.26106870258291),c(`Kruskal-Wallis chi-squared` = 35.4692569769119),c(`Kruskal-Wallis chi-squared` = 112.80849572603),c(`Kruskal-Wallis chi-squared` = 170.585053724985),c(`Kruskal-Wallis chi-squared` = 173.660120865545),c(`Kruskal-Wallis chi-squared` = 108.972582214476),c(`Kruskal-Wallis chi-squared` = 130.520754325212),c(`Kruskal-Wallis chi-squared` = 162.041523647863),c(`Kruskal-Wallis chi-squared` = 165.968982931344)
"parameter",c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4),c(df = 4)
"p.value",0.000114283909294112,0.702518305201679,1.18131103839737e-26,5.34230908678971e-15,0.275409191091744,0.693404085759218,1.83916398701834e-16,2.16030274916156e-13,7.20068845993227e-12,7.3323211282997e-30,0.000547786478227409,6.05256657671757e-07,4.5523622945504e-05,0.000547786478227409,1.57494709442256e-23,7.64695471173863e-06,0.0209453940048577,1.50397625461883e-06,5.65842672279708e-13,0.0149836947640151,0.0462329200144378,0.00377075120495101,8.03537200834582e-11,0.360985949865547,0.515124144367803,3.72043562431153e-07,1.83185219061357e-23,7.83248230574536e-36,1.71327497855086e-36,1.20528604654331e-22,3.01322953035019e-27,5.33401237648069e-34,7.66465073831974e-35
"method",Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test,Kruskal-Wallis rank sum test
"data.name",fa_aaua by cluster,op_ha by cluster,vc_ha by cluster,gm_ha by cluster,nm_ha by cluster,fbi_ha by cluster,slr_ha by cluster,sck_glu by cluster,sd_dc by cluster,sd_glu by cluster,lspec by cluster,feed_lu by cluster,homefeed_per by cluster,cspec by cluster,ifert_ha by cluster,arable_ha by cluster,fodder_ha by cluster,grass_ha by cluster,rough_grazing_ha by cluster,wood_aua_p by cluster,fwood_aua_p by cluster,nue by cluster,farm_n_surplus by cluster,dsecxx613 by cluster,dseczz612 by cluster,outputinputlesssubsratio by cluster,fo_kg_ha by cluster,netem_ha by cluster,ghg_ha by cluster,tde_ha by cluster,tie_ha by cluster,tch4_ha by cluster,tn20_ha by cluster
